Testing v8 version different from logging version
Statistical profiling result from isolate-0x7a8c21b99040-1-v8.log, (35871 ticks, 220 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      7    0.0%    0.1%  JS: *Readable.on node:internal/streams/readable:1125:33
      7    0.0%    0.1%  JS: *<anonymous> /app/node_modules/socket.io/dist/socket.js:699:30
      7    0.0%    0.1%  Builtin: StringAdd_CheckNone
      7    0.0%    0.1%  Builtin: InterpreterEntryTrampoline
      6    0.0%    0.1%  JS: ~<anonymous> /app/index.js:70:29
      6    0.0%    0.1%  JS: *onStreamRead node:internal/stream_base_commons:167:22
      6    0.0%    0.1%  JS: *onPacket /app/node_modules/engine.io/build/socket.js:89:13
      6    0.0%    0.1%  JS: *Readable.read node:internal/streams/readable:645:35
      6    0.0%    0.1%  JS: *<anonymous> /app/node_modules/engine.io/build/transports/websocket.js:17:35
      6    0.0%    0.1%  Builtin: RegExpPrototypeExec
      6    0.0%    0.1%  Builtin: JSConstructStubGeneric
      6    0.0%    0.1%  Builtin: FastFunctionPrototypeBind
      5    0.0%    0.1%  JS: *setTimeout node:timers:140:20
      5    0.0%    0.1%  JS: *decodePacket /app/node_modules/engine.io-parser/build/cjs/decodePacket.js:5:22
      5    0.0%    0.1%  JS: *clearTimeout node:timers:185:22
      5    0.0%    0.1%  JS: *_write /app/node_modules/ws/lib/receiver.js:78:9
      5    0.0%    0.1%  Builtin: LoadICBaseline
      5    0.0%    0.1%  Builtin: BitwiseAnd_Baseline
      5    0.0%    0.1%  Builtin: Add_Baseline
      4    0.0%    0.0%  JS: *noop node:internal/util/debuglog:46:14
      4    0.0%    0.0%  JS: *getInfo /app/node_modules/ws/lib/receiver.js:166:10
      4    0.0%    0.0%  JS: *consume /app/node_modules/ws/lib/receiver.js:93:10
      4    0.0%    0.0%  JS: *connectionListenerInternal node:_http_server:650:36
      4    0.0%    0.0%  JS: *addListener node:events:610:58
      4    0.0%    0.0%  JS: *Decoder.map /app/node_modules/notepack.io/lib/decode.js:16:34
