Testing v8 version different from logging version
Statistical profiling result from isolate-0x7a8c21b99040-1-v8.log, (35871 ticks, 220 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Builtin: ArrayPrototypeJoin
      1    0.0%    0.0%  Builtin: ArrayIteratorPrototypeNext
      1    0.0%    0.0%  Builtin: ArrayConstructorImpl
      1    0.0%    0.0%  Builtin: AllocateInYoungGeneration
      1    0.0%    0.0%  Builtin: AddSmi_Baseline
      1    0.0%    0.0%  Builtin: AdaptorWithBuiltinExitFrame

 [C++]:
   ticks  total  nonlib   name

 [Summary]:
   ticks  total  nonlib   name
   9323   26.0%   97.7%  JavaScript
      0    0.0%    0.0%  C++
    212    0.6%    2.2%  GC
  26328   73.4%          Shared libraries
    220    0.6%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
  21855   60.9%  /lib/ld-musl-x86_64.so.1
  16212   74.2%    /usr/local/bin/node
  16044   99.0%      JS: *writevGeneric node:internal/stream_base_commons:122:23
  16026   99.9%        JS: *clearBuffer node:internal/streams/writable:735:21
  15911   99.3%          JS: *send /app/node_modules/ws/lib/sender.js:303:7
  15823   99.4%            JS: *send /app/node_modules/engine.io/build/transports/websocket.js:57:9

   4415   12.3%  /usr/local/bin/node
   3804   86.2%    /usr/local/bin/node
   1789   47.0%      JS: *writevGeneric node:internal/stream_base_commons:122:23
   1787   99.9%        JS: *clearBuffer node:internal/streams/writable:735:21
   1763   98.7%          JS: *send /app/node_modules/ws/lib/sender.js:303:7
   1749   99.2%            JS: *send /app/node_modules/engine.io/build/transports/websocket.js:57:9
     20    1.1%          JS: *Writable.uncork node:internal/streams/writable:512:37
     18   90.0%            JS: ^end node:_http_outgoing:1058:45
      2   10.0%            JS: ^sendFrame /app/node_modules/ws/lib/sender.js:466:12
   1627   42.8%      JS: *onwrite node:internal/streams/writable:607:17
   1625   99.9%        JS: *writevGeneric node:internal/stream_base_commons:122:23
   1625  100.0%          JS: *clearBuffer node:internal/streams/writable:735:21
   1619   99.6%            JS: *send /app/node_modules/ws/lib/sender.js:303:7
     75    2.0%      JS: *nextTick node:internal/process/task_queues:103:18
      8   10.7%        JS: *addChunk node:internal/streams/readable:548:18
      8  100.0%          JS: *Readable.push node:internal/streams/readable:385:35
      5   62.5%            JS: *onStreamRead node:internal/stream_base_commons:167:22
      3   37.5%            JS: ^onStreamRead node:internal/stream_base_commons:167:22
      7    9.3%        JS: ^maybeReadMore node:internal/streams/readable:855:23
      7  100.0%          JS: ^addChunk node:internal/streams/readable:548:18
      4   57.1%            JS: ^readableAddChunkPushByteMode node:internal/streams/readable:461:38
      3   42.9%            JS: *Readable.push node:internal/streams/readable:385:35
      7    9.3%        JS: *Readable.read node:internal/streams/readable:645:35
      3   42.9%          JS: ^resume_ node:internal/streams/readable:1252:17
      3  100.0%            JS: *processTicksAndRejections node:internal/process/task_queues:67:35
      2   28.6%          JS: *resume_ node:internal/streams/readable:1252:17
      2  100.0%            JS: *processTicksAndRejections node:internal/process/task_queues:67:35
      2   28.6%          JS: *flow node:internal/streams/readable:1278:14
      1   50.0%            JS: ^resume_ node:internal/streams/readable:1252:17
      1   50.0%            JS: ^emitReadable_ node:internal/streams/readable:828:23
      7    9.3%        JS: *<anonymous> /app/node_modules/socket.io/dist/client.js:213:39
      7  100.0%          JS: *processTicksAndRejections node:internal/process/task_queues:67:35
      6    8.0%        JS: ^onwrite node:internal/streams/writable:607:17
      6  100.0%          JS: ^afterWriteDispatched node:internal/stream_base_commons:155:30
      6  100.0%            JS: ^writevGeneric node:internal/stream_base_commons:122:23
      6    8.0%        JS: *Socket.resume node:net:757:35
      6  100.0%          JS: *Readable.on node:internal/streams/readable:1125:33
      5   83.3%            JS: ^connectionListenerInternal node:_http_server:650:36
      1   16.7%            JS: *connectionListenerInternal node:_http_server:650:36
      5    6.7%        JS: ^onFinish node:internal/streams/writable:876:18
      5  100.0%          JS: ^<anonymous> node:internal/streams/writable:906:21
      5  100.0%            JS: ^afterShutdown node:net:539:23
      5    6.7%        JS: ^onDestroy node:internal/streams/destroy:92:21
      4   80.0%          JS: ^Socket._destroy node:net:794:37
      2   50.0%            JS: ^_destroy node:internal/streams/destroy:89:18
      2   50.0%            JS: *destroy node:internal/streams/destroy:48:17
      1   20.0%          JS: ~Writable._destroy node:internal/streams/writable:1117:39
      1  100.0%            JS: ^_destroy node:internal/streams/destroy:89:18
      3    4.0%        JS: *processTicksAndRejections node:internal/process/task_queues:67:35
      2    2.7%        JS: ^ondecoded /app/node_modules/socket.io/dist/client.js:194:14
      2  100.0%          JS: *Emitter.emit /app/node_modules/component-emitter/index.js:132:34
      2  100.0%            JS: ^Decoder.add /app/node_modules/socket.io-msgpack-parser/index.js:46:34
      2    2.7%        JS: ^onClose /app/node_modules/engine.io/build/socket.js:293:12
      1   50.0%          JS: ^onceWrapper node:events:628:21
      1  100.0%            JS: *emit node:events:466:44
      1   50.0%          JS: *onceWrapper node:events:628:21
      1  100.0%            JS: *emit node:events:466:44
      2    2.7%        JS: ^endReadable node:internal/streams/readable:1680:21
      2  100.0%          JS: ^Readable.read node:internal/streams/readable:645:35
      1   50.0%            JS: ^resume_ node:internal/streams/readable:1252:17
      1   50.0%            JS: ^flow node:internal/streams/readable:1278:14
      2    2.7%        JS: ^emitReadable node:internal/streams/readable:817:22
      2  100.0%          JS: ^onEofChunk node:internal/streams/readable:786:20
      2  100.0%            JS: ^readableAddChunkPushByteMode node:internal/streams/readable:461:38
      2    2.7%        JS: ^_destroy node:_http_incoming:221:55
      1   50.0%          JS: ^_destroy node:internal/streams/destroy:89:18
      1  100.0%            JS: ^destroy node:internal/streams/destroy:48:17
      1   50.0%          JS: *endReadableNT node:internal/streams/readable:1690:23
      1  100.0%            JS: *processTicksAndRejections node:internal/process/task_queues:67:35
      2    2.7%        JS: ^<anonymous> /app/node_modules/socket.io/dist/socket.js:698:25
      2  100.0%          JS: ^run /app/node_modules/socket.io/dist/socket.js:746:8
      2  100.0%            JS: ^dispatch /app/node_modules/socket.io/dist/socket.js:696:13
      2    2.7%        JS: *Readable.resume node:internal/streams/readable:1225:37
      1   50.0%          JS: ^_dump node:_http_incoming:432:49
      1  100.0%            JS: ^resOnFinish node:_http_server:972:21
      1   50.0%          JS: *Readable.on node:internal/streams/readable:1125:33
      1  100.0%            JS: ^onDataRequest /app/node_modules/engine.io/build/transports/polling.js:92:18
      2    2.7%        JS: *Readable.push node:internal/streams/readable:385:35
      2  100.0%          JS: *parserOnMessageComplete node:_http_common:137:33
      1    1.3%        JS: ^resume node:internal/streams/readable:1245:16
      1  100.0%          JS: ^Readable.resume node:internal/streams/readable:1225:37
      1  100.0%            JS: *Readable.on node:internal/streams/readable:1125:33
      1    1.3%        JS: ^resOnFinish node:_http_server:972:21
      1  100.0%          JS: *emit node:events:466:44
      1  100.0%            JS: ^onFinish node:_http_outgoing:1053:18
      1    1.3%        JS: *dispatch /app/node_modules/socket.io/dist/socket.js:696:13
      1  100.0%          JS: ^onevent /app/node_modules/socket.io/dist/socket.js:459:12
      1  100.0%            JS: ^_onpacket /app/node_modules/socket.io/dist/socket.js:433:14
      1    1.3%        JS: *Writable.end node:internal/streams/writable:798:34
      1  100.0%          JS: ^socketOnEnd /app/node_modules/ws/lib/websocket.js:1282:21
      1  100.0%            JS: *emit node:events:466:44
      1    1.3%        JS: *<anonymous> node:internal/streams/writable:906:21
      1  100.0%          JS: ^afterShutdown node:net:539:23

    925    2.6%  Builtin: KeyedLoadIC_Megamorphic
    233   25.2%    JS: *writeToEngine /app/node_modules/socket.io/dist/client.js:162:18
    229   98.3%      JS: *apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
    142   62.0%        JS: *emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
     99   69.7%          JS: *<anonymous> /app/index.js:70:29
     99  100.0%            JS: *emit node:events:466:44
     43   30.3%          JS: ~<anonymous> /app/index.js:70:29
     43  100.0%            JS: *emit node:events:466:44
     56   24.5%        JS: ^broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
     56  100.0%          JS: ^emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
     45   80.4%            JS: ~<anonymous> /app/index.js:70:29
      7   12.5%            JS: ^emit /app/node_modules/socket.io/dist/namespace.js:306:9
      4    7.1%            JS: ^<anonymous> /app/index.js:60:32
     31   13.5%        JS: *broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
     31  100.0%          JS: ^emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
     31  100.0%            JS: ~<anonymous> /app/index.js:70:29
      4    1.7%      JS: *<anonymous> /app/node_modules/socket.io-adapter/dist/index.js:120:26
      3   75.0%        JS: ^apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
      3  100.0%          JS: ^broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
      3  100.0%            JS: ^emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
      1   25.0%        JS: *apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
      1  100.0%          JS: ^broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
      1  100.0%            JS: ^emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
    230   24.9%    JS: *onSent /app/node_modules/engine.io/build/transports/websocket.js:67:28
    230  100.0%      JS: *callback node:internal/streams/writable:754:63
    230  100.0%        JS: *afterWriteTick node:internal/streams/writable:684:24
    230  100.0%          JS: *processTicksAndRejections node:internal/process/task_queues:67:35
    177   19.1%    JS: *flush /app/node_modules/engine.io/build/socket.js:407:10
    176   99.4%      JS: *writeToEngine /app/node_modules/socket.io/dist/client.js:162:18
    167   94.9%        JS: *apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
    111   66.5%          JS: *emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
     84   75.7%            JS: *<anonymous> /app/index.js:70:29
     27   24.3%            JS: ~<anonymous> /app/index.js:70:29
     45   26.9%          JS: ^broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
     45  100.0%            JS: ^emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
     11    6.6%          JS: *broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
     11  100.0%            JS: ^emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
      8    4.5%        JS: *<anonymous> /app/node_modules/socket.io-adapter/dist/index.js:120:26
      4   50.0%          JS: ^apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
      4  100.0%            JS: ^broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
      4   50.0%          JS: *apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
      2   50.0%            JS: *emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
      1   25.0%            JS: ^broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
      1   25.0%            JS: *broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
    101   10.9%    JS: *get node:net:2306:6
    100   99.0%      JS: *clearBuffer node:internal/streams/writable:735:21
    100  100.0%        JS: *send /app/node_modules/ws/lib/sender.js:303:7
    100  100.0%          JS: *send /app/node_modules/engine.io/build/transports/websocket.js:57:9
    100  100.0%            JS: *flush /app/node_modules/engine.io/build/socket.js:407:10
     85    9.2%    JS: *clearBuffer node:internal/streams/writable:735:21
     85  100.0%      JS: *send /app/node_modules/ws/lib/sender.js:303:7
     85  100.0%        JS: *send /app/node_modules/engine.io/build/transports/websocket.js:57:9
     85  100.0%          JS: *flush /app/node_modules/engine.io/build/socket.js:407:10
     85  100.0%            JS: *writeToEngine /app/node_modules/socket.io/dist/client.js:162:18
     50    5.4%    JS: *emit node:events:466:44
     32   64.0%      JS: *flush /app/node_modules/engine.io/build/socket.js:407:10
     31   96.9%        JS: *writeToEngine /app/node_modules/socket.io/dist/client.js:162:18
     31  100.0%          JS: *apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
     21   67.7%            JS: *emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
      7   22.6%            JS: ^broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
      3    9.7%            JS: *broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
      1    3.1%        JS: *emit node:events:466:44
      1  100.0%          JS: ^onPollRequest /app/node_modules/engine.io/build/transports/polling.js:58:18
      1  100.0%            JS: ^onRequest /app/node_modules/engine.io/build/transports/polling.js:40:14
      4    8.0%      JS: *startLoop /app/node_modules/ws/lib/receiver.js:129:12
      4  100.0%        JS: *_write /app/node_modules/ws/lib/receiver.js:78:9
      4  100.0%          JS: *Writable.write node:internal/streams/writable:496:36
      4  100.0%            JS: *socketOnData /app/node_modules/ws/lib/websocket.js:1271:22
      2    4.0%      JS: ^onSent /app/node_modules/engine.io/build/transports/websocket.js:67:28
      2  100.0%        JS: *callback node:internal/streams/writable:754:63
      2  100.0%          JS: *afterWriteTick node:internal/streams/writable:684:24
      2  100.0%            JS: *processTicksAndRejections node:internal/process/task_queues:67:35
      2    4.0%      JS: ^emitUntyped /app/node_modules/socket.io/dist/typed-events.js:68:16
      2  100.0%        JS: ^<anonymous> /app/node_modules/socket.io/dist/socket.js:699:30
      2  100.0%          JS: *processTicksAndRejections node:internal/process/task_queues:67:35
      1    2.0%      JS: ^receiverOnMessage /app/node_modules/ws/lib/websocket.js:1177:27
      1  100.0%        JS: *emit node:events:466:44
      1  100.0%          JS: *startLoop /app/node_modules/ws/lib/receiver.js:129:12
      1  100.0%            JS: ^_write /app/node_modules/ws/lib/receiver.js:78:9
      1    2.0%      JS: ^onconnection node:net:2104:22
      1    2.0%      JS: ^onPacket /app/node_modules/engine.io/build/transport.js:91:13
      1  100.0%        JS: ^callback /app/node_modules/engine.io/build/transports/polling.js:158:26
      1  100.0%          Builtin: ArrayForEach
      1  100.0%            JS: ^onData /app/node_modules/engine.io/build/transports/polling.js:156:11
      1    2.0%      JS: ^onPacket /app/node_modules/engine.io/build/socket.js:89:13
      1  100.0%        JS: *onPacket /app/node_modules/engine.io/build/transport.js:91:13
      1  100.0%          JS: ^onData /app/node_modules/engine.io/build/transport.js:100:11
      1  100.0%            JS: ^<anonymous> /app/node_modules/engine.io/build/transports/websocket.js:17:35
      1    2.0%      JS: ^onFinish node:internal/streams/writable:876:18
      1  100.0%        JS: ^<anonymous> node:internal/streams/writable:906:21
      1  100.0%          JS: ^afterShutdown node:net:539:23
      1    2.0%      JS: ^flush /app/node_modules/engine.io/build/socket.js:407:10
      1  100.0%        JS: ^sendPacket /app/node_modules/engine.io/build/socket.js:378:15
      1  100.0%          JS: ^write /app/node_modules/engine.io/build/socket.js:364:10
      1  100.0%            JS: ^writeToEngine /app/node_modules/socket.io/dist/client.js:162:18
      1    2.0%      JS: ^emitCloseNT node:_http_server:1019:21
      1  100.0%        JS: *processTicksAndRejections node:internal/process/task_queues:67:35
      1    2.0%      JS: ^emitClose /app/node_modules/ws/lib/websocket.js:245:12
      1  100.0%        JS: ^socketOnClose /app/node_modules/ws/lib/websocket.js:1219:23
      1  100.0%          JS: *<anonymous> node:net:335:24
      1    2.0%      JS: ^<anonymous> node:net:335:24
      1    2.0%      JS: *emitUntyped /app/node_modules/socket.io/dist/typed-events.js:68:16
      1  100.0%        JS: ^<anonymous> /app/node_modules/socket.io/dist/socket.js:699:30
      1  100.0%          JS: ^processTicksAndRejections node:internal/process/task_queues:67:35

    695    1.9%  JS: *send /app/node_modules/engine.io/build/transports/websocket.js:57:9
    687   98.8%    JS: *flush /app/node_modules/engine.io/build/socket.js:407:10
    685   99.7%      JS: *writeToEngine /app/node_modules/socket.io/dist/client.js:162:18
    671   98.0%        JS: *apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
    426   63.5%          JS: *emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
    326   76.5%            JS: *<anonymous> /app/index.js:70:29
    100   23.5%            JS: ~<anonymous> /app/index.js:70:29
    168   25.0%          JS: ^broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
    168  100.0%            JS: ^emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
     77   11.5%          JS: *broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
     77  100.0%            JS: ^emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
     11    1.6%        JS: *<anonymous> /app/node_modules/socket.io-adapter/dist/index.js:120:26
      9   81.8%          JS: ^apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
      9  100.0%            JS: ^broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
      2   18.2%          JS: *apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
      1   50.0%            JS: *emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
      1   50.0%            JS: *broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14

    657    1.8%  Builtin: LoadIC
    131   19.9%    JS: *send /app/node_modules/engine.io/build/transports/websocket.js:57:9
    131  100.0%      JS: *flush /app/node_modules/engine.io/build/socket.js:407:10
    130   99.2%        JS: *writeToEngine /app/node_modules/socket.io/dist/client.js:162:18
    124   95.4%          JS: *apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
     84   67.7%            JS: *emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
     26   21.0%            JS: ^broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
     14   11.3%            JS: *broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
      6    4.6%          JS: *<anonymous> /app/node_modules/socket.io-adapter/dist/index.js:120:26
      4   66.7%            JS: ^apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
      2   33.3%            JS: *apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
     80   12.2%    JS: *onwrite node:internal/streams/writable:607:17
     80  100.0%      JS: *writevGeneric node:internal/stream_base_commons:122:23
     80  100.0%        JS: *clearBuffer node:internal/streams/writable:735:21
     80  100.0%          JS: *send /app/node_modules/ws/lib/sender.js:303:7
     80  100.0%            JS: *send /app/node_modules/engine.io/build/transports/websocket.js:57:9
     76   11.6%    JS: *debug /app/node_modules/debug/src/common.js:66:17
     60   78.9%      JS: *writeToEngine /app/node_modules/socket.io/dist/client.js:162:18
     59   98.3%        JS: *apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
     40   67.8%          JS: *emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
     29   72.5%            JS: *<anonymous> /app/index.js:70:29
     11   27.5%            JS: ~<anonymous> /app/index.js:70:29
     12   20.3%          JS: ^broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
     12  100.0%            JS: ^emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
      7   11.9%          JS: *broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
      7  100.0%            JS: ^emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
      1    1.7%        JS: *<anonymous> /app/node_modules/socket.io-adapter/dist/index.js:120:26
      1  100.0%          JS: ^apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
      1  100.0%            JS: ^broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
      9   11.8%      JS: *flush /app/node_modules/engine.io/build/socket.js:407:10
      9  100.0%        JS: *writeToEngine /app/node_modules/socket.io/dist/client.js:162:18
      9  100.0%          JS: *apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
      6   66.7%            JS: ^broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
      3   33.3%            JS: *emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
      2    2.6%      JS: ^_onpacket /app/node_modules/socket.io/dist/socket.js:433:14
      2  100.0%        JS: ^<anonymous> /app/node_modules/socket.io/dist/client.js:213:39
      1   50.0%          JS: ^processTicksAndRejections node:internal/process/task_queues:67:35
      1   50.0%          JS: *processTicksAndRejections node:internal/process/task_queues:67:35
      1    1.3%      JS: ^sendPacket /app/node_modules/engine.io/build/socket.js:378:15
      1  100.0%        JS: ^write /app/node_modules/engine.io/build/socket.js:364:10
      1  100.0%          JS: *writeToEngine /app/node_modules/socket.io/dist/client.js:162:18
      1  100.0%            JS: ^_packet /app/node_modules/socket.io/dist/client.js:152:12
      1    1.3%      JS: ^onPacket /app/node_modules/engine.io/build/socket.js:89:13
      1  100.0%        JS: *<anonymous> /app/node_modules/engine.io/build/transports/websocket.js:17:35
      1  100.0%          JS: *receiverOnMessage /app/node_modules/ws/lib/websocket.js:1177:27
      1  100.0%            JS: *emit node:events:466:44
      1    1.3%      JS: ^<anonymous> /app/node_modules/engine.io/build/transports/websocket.js:17:35
      1  100.0%        JS: *emit node:events:466:44
      1  100.0%          JS: ^receiverOnMessage /app/node_modules/ws/lib/websocket.js:1177:27
      1  100.0%            JS: *emit node:events:466:44
      1    1.3%      JS: ^<anonymous> /app/node_modules/engine.io/build/socket.js:144:59
      1  100.0%        JS: ^listOnTimeout node:internal/timers:519:25
      1  100.0%          JS: ^processTimers node:internal/timers:499:25
      1    1.3%      JS: ^<anonymous> /app/node_modules/engine.io/build/server.js:659:30
      1  100.0%        JS: ^<anonymous> /app/node_modules/socket.io/dist/index.js:312:27
      1  100.0%          JS: *emit node:events:466:44
      1  100.0%            JS: ^parserOnIncoming node:_http_server:1030:26
     39    5.9%    JS: *flush /app/node_modules/engine.io/build/socket.js:407:10
     37   94.9%      JS: *writeToEngine /app/node_modules/socket.io/dist/client.js:162:18
     37  100.0%        JS: *apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
     25   67.6%          JS: *emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
     16   64.0%            JS: *<anonymous> /app/index.js:70:29
      9   36.0%            JS: ~<anonymous> /app/index.js:70:29
      7   18.9%          JS: *broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
      7  100.0%            JS: ^emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
      5   13.5%          JS: ^broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
      5  100.0%            JS: ^emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
      1    2.6%      JS: ^sendPacket /app/node_modules/engine.io/build/socket.js:378:15
      1  100.0%        JS: ^write /app/node_modules/engine.io/build/socket.js:364:10
      1  100.0%          JS: *writeToEngine /app/node_modules/socket.io/dist/client.js:162:18
      1  100.0%            JS: ^_packet /app/node_modules/socket.io/dist/client.js:152:12
      1    2.6%      JS: *emit node:events:466:44
      1  100.0%        JS: ^onPollRequest /app/node_modules/engine.io/build/transports/polling.js:58:18
      1  100.0%          JS: ^onRequest /app/node_modules/engine.io/build/transports/polling.js:40:14
      1  100.0%            JS: ^handshake /app/node_modules/engine.io/build/server.js:243:20
     32    4.9%    JS: *writevGeneric node:internal/stream_base_commons:122:23
     32  100.0%      JS: *clearBuffer node:internal/streams/writable:735:21
     32  100.0%        JS: *send /app/node_modules/ws/lib/sender.js:303:7
     32  100.0%          JS: *send /app/node_modules/engine.io/build/transports/websocket.js:57:9
     32  100.0%            JS: *flush /app/node_modules/engine.io/build/socket.js:407:10
     32    4.9%    JS: *frame /app/node_modules/ws/lib/sender.js:68:15
     32  100.0%      JS: *send /app/node_modules/ws/lib/sender.js:303:7
     32  100.0%        JS: *send /app/node_modules/engine.io/build/transports/websocket.js:57:9
     32  100.0%          JS: *flush /app/node_modules/engine.io/build/socket.js:407:10
     32  100.0%            JS: *writeToEngine /app/node_modules/socket.io/dist/client.js:162:18
     24    3.7%    JS: *get /app/node_modules/debug/src/common.js:125:9
     23   95.8%      JS: *debug /app/node_modules/debug/src/common.js:66:17
     19   82.6%        JS: *writeToEngine /app/node_modules/socket.io/dist/client.js:162:18
     19  100.0%          JS: *apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
     15   78.9%            JS: *emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
      4   21.1%            JS: ^broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
      3   13.0%        JS: *flush /app/node_modules/engine.io/build/socket.js:407:10
      3  100.0%          JS: *writeToEngine /app/node_modules/socket.io/dist/client.js:162:18
      3  100.0%            JS: *apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
      1    4.3%        JS: ^set readyState /app/node_modules/engine.io/build/transport.js:32:19
      1  100.0%          JS: ^onClose /app/node_modules/engine.io/build/transport.js:108:12
      1  100.0%            JS: ^onceWrapper node:events:628:21
      1    4.2%      JS: *send /app/node_modules/engine.io/build/transports/websocket.js:57:9
      1  100.0%        JS: *flush /app/node_modules/engine.io/build/socket.js:407:10
      1  100.0%          JS: *writeToEngine /app/node_modules/socket.io/dist/client.js:162:18
      1  100.0%            JS: *apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
     23    3.5%    JS: *writeToEngine /app/node_modules/socket.io/dist/client.js:162:18
     23  100.0%      JS: *apply /app/node_modules/socket.io-adapter/dist/index.js:249:10
     16   69.6%        JS: *emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
     12   75.0%          JS: *<anonymous> /app/index.js:70:29
     12  100.0%            JS: *emit node:events:466:44
      4   25.0%          JS: ~<anonymous> /app/index.js:70:29
      4  100.0%            JS: *emit node:events:466:44
      4   17.4%        JS: ^broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
      4  100.0%          JS: ^emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
      4  100.0%            JS: ~<anonymous> /app/index.js:70:29
      3   13.0%        JS: *broadcast /app/node_modules/socket.io-adapter/dist/index.js:111:14
      3  100.0%          JS: ^emit /app/node_modules/socket.io/dist/broadcast-operator.js:157:9
      3  100.0%            JS: ~<anonymous> /app/index.js:70:29
     14    2.1%    JS: *emit node:events:466:44
      3   21.4%      JS: ^onFinish node:_http_outgoing:1053:18
      2   66.7%        JS: *callback node:internal/streams/writable:754:63
      2  100.0%          JS: *afterWriteTick node:internal/streams/writable:684:24
      2  100.0%            JS: *processTicksAndRejections node:internal/process/task_queues:67:35
      1   33.3%        JS: ^callback node:internal/streams/writable:754:63
      1  100.0%          JS: ^afterWrite node:internal/streams/writable:690:20
      1  100.0%            JS: ^afterWriteTick node:internal/streams/writable:684:24
      2   14.3%      JS: ^onPacket /app/node_modules/engine.io/build/transport.js:91:13
      1   50.0%        JS: ^onData /app/node_modules/engine.io/build/transport.js:100:11
      1  100.0%          JS: ^<anonymous> /app/node_modules/engine.io/build/transports/websocket.js:17:35
      1  100.0%            JS: *emit node:events:466:44
      1   50.0%        JS: ^callback /app/node_modules/engine.io/build/transports/polling.js:158:26
      1  100.0%          Builtin: ArrayForEach
      1  100.0%            JS: ^onData /app/node_modules/engine.io/build/transports/polling.js:156:11
      2   14.3%      JS: ^onClose /app/node_modules/engine.io/build/socket.js:293:12
      2  100.0%        JS: *onceWrapper node:events:628:21
      2  100.0%          JS: *emit node:events:466:44
      2  100.0%            JS: ^onClose /app/node_modules/engine.io/build/transport.js:108:12
      1    7.1%      JS: ^parserOnIncoming node:_http_server:1030:26
      1  100.0%        JS: ^parserOnHeadersComplete node:_http_common:72:33
      1    7.1%      JS: ^onPollRequest /app/node_modules/engine.io/build/transports/polling.js:58:18
      1  100.0%        JS: ^onRequest /app/node_modules/engine.io/build/transports/polling.js:40:14
      1  100.0%          JS: ^callback /app/node_modules/engine.io/build/server.js:513:26
      1  100.0%            JS: ^verify /app/node_modules/engine.io/build/server.js:102:11
      1    7.1%      JS: ^headers /app/node_modules/engine.io/build/transports/polling.js:330:12
      1  100.0%        JS: ^respond /app/node_modules/engine.io/build/transports/polling.js:239:25
      1  100.0%          JS: ^doWrite /app/node_modules/engine.io/build/transports/polling.js:230:12
